iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.3200,0.3850,0.0000,0.3200,10.624,0.0000,0.0254,4.730,2.510,0.5307,2.650,0.710,1.370,0.000,0.000,0.0000,3.930,2.110,0.0000,0.0000,0.0000
5,0.0375,0.4750,0.4250,0.3875,10.153,0.0000,0.3383,6.338,3.862,0.6095,5.625,0.400,0.312,0.850,0.425,0.5000,4.512,4.450,-548.9861,1.2323,361643.3750
10,-0.3125,0.3562,0.0250,0.3375,10.193,0.0000,0.3384,6.500,2.713,0.4173,5.750,0.363,0.387,0.138,0.025,0.1818,6.425,5.350,-650.7927,1.3502,304683.5625
15,-0.2125,0.4000,0.0625,0.2750,10.324,0.0000,0.3908,5.975,2.700,0.4519,5.488,0.287,0.200,0.188,0.062,0.3333,5.738,5.012,-164.6940,1.5391,225571.8594
20,-0.3375,0.3438,0.0375,0.3750,10.376,0.0000,0.3165,8.025,3.050,0.3801,6.912,0.600,0.512,0.300,0.038,0.1250,5.963,5.812,-325.7769,1.5312,296688.0625
25,-0.3750,0.3938,0.0750,0.4500,10.117,0.0000,0.2770,8.450,3.938,0.4660,6.875,0.750,0.825,0.887,0.075,0.0845,5.850,5.325,-475.6358,1.4438,205649.1406
30,-0.1750,0.4125,0.2750,0.4500,10.229,0.0000,0.2611,8.738,4.137,0.4735,6.838,1.375,0.525,1.125,0.275,0.2444,6.075,6.025,-500.2396,1.3770,200206.1094
35,-0.2250,0.3938,0.1125,0.3375,10.166,0.0000,0.3765,7.312,2.950,0.4034,6.738,0.325,0.250,0.412,0.112,0.2727,7.100,6.025,-306.4641,1.3235,267809.8125
40,-0.2250,0.3938,0.0375,0.2625,10.540,0.0000,0.3599,6.113,2.750,0.4499,5.688,0.200,0.225,0.225,0.038,0.1667,5.550,5.125,-424.3588,1.2352,304112.2500
45,-0.2125,0.4062,0.1375,0.3500,10.467,0.0000,0.3171,7.250,3.537,0.4879,6.363,0.425,0.463,0.463,0.138,0.2973,5.762,5.137,-276.6279,1.1580,224587.9688
50,-0.6250,0.3938,0.2750,0.9000,10.034,0.0000,0.2394,9.212,4.062,0.4410,7.025,1.288,0.900,1.025,0.275,0.2683,6.037,5.525,-367.2175,1.1282,350587.2812
55,0.0250,0.5063,0.2875,0.2625,10.154,0.0000,0.2207,10.600,4.625,0.4363,8.125,1.525,0.950,1.087,0.287,0.2644,6.062,6.350,-31.3994,1.0656,287871.5938
60,-0.3500,0.3250,0.1375,0.4875,10.035,0.0000,0.3069,8.625,3.388,0.3928,7.537,0.663,0.425,0.825,0.138,0.1667,6.412,6.588,-334.4722,1.0588,204976.6562
65,-0.9875,0.2375,0.0875,1.0750,9.878,0.0000,0.2735,9.525,3.963,0.4160,7.775,1.000,0.750,0.938,0.087,0.0933,6.912,5.125,-447.7865,0.9500,126653.9141
70,0.0000,0.4625,0.3500,0.3500,9.985,0.0000,0.3041,7.887,3.975,0.5040,7.113,0.562,0.213,1.100,0.350,0.3182,5.562,5.675,-628.9084,0.9139,337140.8125
75,-0.6000,0.3250,0.0375,0.6375,10.196,0.0000,0.2674,9.038,3.575,0.3956,6.475,2.112,0.450,0.837,0.038,0.0448,6.412,5.512,-295.4169,0.7371,243480.8438
80,0.2625,0.5562,0.5750,0.3125,9.974,0.0000,0.2898,8.175,4.600,0.5627,7.125,0.663,0.387,1.438,0.575,0.4000,4.988,5.613,-389.2863,0.7049,339787.2500
80,0.2325,0.5175,0.5475,0.3150,9.941,0.0000,0.2855,8.670,4.780,0.5513,7.778,0.485,0.407,1.455,0.548,0.3763,5.392,5.865,0.0000,0.0000,0.0000
