iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.9000,0.2250,0.0000,0.9000,11.056,0.0000,0.3477,7.440,3.330,0.4476,4.040,0.990,2.410,0.010,0.000,0.0000,6.580,3.040,0.0000,0.0000,0.0000
5,-0.3000,0.3625,0.0500,0.3500,10.277,0.0000,0.3745,6.488,2.938,0.4528,5.500,0.550,0.438,0.138,0.050,0.3636,6.475,5.225,-109.7904,1.3167,217563.6562
10,-0.3750,0.3375,0.0500,0.4250,10.290,0.0000,0.3625,6.312,2.838,0.4495,5.438,0.325,0.550,0.188,0.050,0.2667,6.100,4.925,-298.3710,1.5233,306213.3125
15,-0.4125,0.3187,0.0250,0.4375,10.341,0.0000,0.3766,6.775,2.487,0.3672,6.200,0.225,0.350,0.125,0.025,0.2000,7.200,5.562,-487.8866,1.5369,218003.0781
20,-0.1875,0.3938,0.1250,0.3125,10.309,0.0000,0.3969,6.400,3.088,0.4824,5.338,0.688,0.375,0.525,0.125,0.2381,6.062,5.525,176.0325,1.4740,230220.1406
25,0.0375,0.4625,0.4125,0.3750,10.396,0.0000,0.3615,5.950,3.787,0.6366,4.838,0.875,0.237,0.938,0.412,0.4400,5.688,4.475,-349.7190,1.4630,217428.3438
30,0.3125,0.5688,0.6375,0.3250,10.258,0.0000,0.3020,8.475,4.113,0.4853,6.963,1.212,0.300,1.225,0.637,0.5204,6.375,6.412,-624.6807,1.3710,442858.4375
35,-1.0625,0.2937,0.1000,1.1625,10.366,0.0000,0.3016,10.238,3.350,0.3272,9.075,0.850,0.312,0.800,0.100,0.1250,8.150,6.350,-639.3461,1.2974,340914.1250
40,-0.3125,0.3938,0.1625,0.4750,10.178,0.0000,0.2564,9.850,3.400,0.3452,7.812,1.388,0.650,0.450,0.162,0.3611,7.600,6.588,-842.7378,1.3118,422692.3750
45,-0.7375,0.2937,0.0000,0.7375,10.212,0.0000,0.3117,7.700,3.075,0.3994,6.812,0.338,0.550,0.250,0.000,0.0000,6.312,4.375,-169.8115,1.2174,168061.6406
50,-0.3125,0.3875,0.1375,0.4500,10.380,0.0000,0.3207,8.025,3.350,0.4174,7.150,0.338,0.538,0.425,0.138,0.3235,6.100,5.675,-160.0721,1.2133,242338.5781
55,-0.3625,0.3375,0.0250,0.3875,10.117,0.0000,0.3936,6.075,2.750,0.4527,5.375,0.412,0.287,0.175,0.025,0.1429,6.075,4.775,-538.3973,1.1407,341482.4688
60,-0.2625,0.3750,0.0500,0.3125,10.438,0.0000,0.3387,8.800,3.612,0.4105,7.875,0.463,0.463,0.275,0.050,0.1818,8.012,6.650,-515.8329,1.1013,169212.7812
65,-0.1625,0.4125,0.1625,0.3250,10.497,0.0000,0.3577,8.163,3.188,0.3905,7.488,0.325,0.350,0.450,0.162,0.3611,6.825,6.325,-335.2225,1.1227,323658.4688
70,-0.5875,0.3375,0.2375,0.8250,10.102,0.0000,0.2421,9.675,4.162,0.4302,6.275,2.487,0.913,1.050,0.237,0.2262,6.338,5.537,-278.8981,1.0810,156011.6562
75,-0.7750,0.3250,0.1250,0.9000,10.252,0.0000,0.2587,11.562,3.763,0.3254,9.387,1.288,0.887,0.375,0.125,0.3333,8.475,6.900,-411.3274,1.0623,408389.1562
80,-0.2250,0.4187,0.1125,0.3375,10.268,0.0000,0.3063,9.613,3.088,0.3212,8.812,0.387,0.412,0.350,0.112,0.3214,7.912,7.412,-517.6846,0.9755,365625.3438
85,-1.5375,0.1625,0.0750,1.6125,10.160,0.0000,0.2908,7.838,3.037,0.3876,6.938,0.363,0.538,0.375,0.075,0.2000,4.838,2.987,-252.9412,0.8893,331531.0938
90,-0.4500,0.3187,0.0750,0.5250,10.333,0.0000,0.3027,9.575,3.475,0.3629,8.500,0.575,0.500,0.350,0.075,0.2143,7.213,6.275,-92.7319,0.7981,171385.7188
95,-0.3125,0.3688,0.0875,0.4000,10.380,0.0000,0.3161,8.350,3.537,0.4237,7.550,0.363,0.438,0.450,0.087,0.1944,6.188,5.338,-50.3010,0.7381,283004.9062
100,-0.5750,0.3562,0.5000,1.0750,9.906,0.0000,0.2180,10.675,4.825,0.4520,6.738,2.963,0.975,1.450,0.500,0.3448,5.625,5.238,-87.5253,0.7423,151745.7500
105,-0.8750,0.3000,0.1125,0.9875,10.203,0.0000,0.3051,9.925,3.037,0.3060,7.800,1.825,0.300,0.363,0.112,0.3103,8.075,6.088,-227.6369,0.6432,362276.5000
110,-0.4750,0.3625,0.3125,0.7875,10.073,0.0000,0.2712,8.413,3.675,0.4368,6.287,1.688,0.438,0.812,0.312,0.3846,5.363,4.400,34.9727,0.5901,272162.9062
115,-0.3750,0.3375,0.0500,0.4250,10.291,0.0000,0.3291,11.113,3.412,0.3071,10.488,0.412,0.213,0.438,0.050,0.1143,9.163,8.188,136.2151,0.5755,297300.4375
120,-0.2500,0.4000,0.1000,0.3500,10.157,0.0000,0.2915,9.325,3.275,0.3512,8.137,0.600,0.587,0.412,0.100,0.2424,7.537,6.550,-32.6143,0.5640,236036.5312
30,-0.2925,0.3725,0.0425,0.3350,10.164,0.0000,0.3704,5.605,2.483,0.4429,4.782,0.555,0.268,0.245,0.043,0.1735,5.730,3.938,0.0000,0.0000,0.0000
