iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.3200,0.3850,0.0000,0.3200,10.624,0.0000,0.0254,4.730,2.510,0.5307,2.650,0.710,1.370,0.000,0.000,0.0000,3.930,2.110,0.0000,0.0000,0.0000
5,-0.5000,0.2688,0.0000,0.5000,10.402,0.0000,0.5403,0.650,0.312,0.4808,0.650,0.000,0.000,0.000,0.000,0.0000,5.238,3.350,-26.0485,1.4179,87687.0703
10,-0.6250,0.2375,0.0000,0.6250,10.582,0.0000,0.5155,1.200,0.512,0.4271,1.150,0.038,0.013,0.013,0.000,0.0000,5.825,3.537,-390.0397,1.5977,183200.3125
15,-0.4250,0.3063,0.0000,0.4250,10.820,0.0000,0.5405,1.263,0.613,0.4851,1.237,0.013,0.013,0.025,0.000,0.0000,6.400,3.862,-406.2436,1.7515,172283.4062
20,-0.4875,0.2812,0.0000,0.4875,10.760,0.0000,0.5311,1.400,0.738,0.5268,1.400,0.000,0.000,0.000,0.000,0.0000,6.375,3.925,-593.5369,1.7068,430429.3438
25,-0.3500,0.3375,0.0125,0.3625,10.673,0.0000,0.4475,3.787,1.850,0.4884,3.638,0.075,0.075,0.075,0.013,0.1667,6.700,4.975,-359.7874,1.6740,213235.9062
30,-0.3875,0.3187,0.0000,0.3875,11.409,0.0000,0.5174,2.400,1.450,0.6042,2.388,0.000,0.013,0.000,0.000,0.0000,6.600,4.438,-557.4169,1.5668,220099.2188
35,-0.4250,0.3187,0.0000,0.4250,11.496,0.0000,0.5303,1.413,0.788,0.5575,1.413,0.000,0.000,0.000,0.000,0.0000,5.963,3.525,-46.8976,1.5009,314927.4688
40,-0.2625,0.3688,0.0250,0.2875,10.222,0.0000,0.4654,1.913,0.875,0.4575,1.875,0.025,0.013,0.062,0.025,0.4000,5.213,3.188,-646.7845,1.4241,251108.7188
45,-0.5250,0.2812,0.0000,0.5250,10.945,0.0000,0.5036,1.800,0.825,0.4583,1.788,0.013,0.000,0.075,0.000,0.0000,5.875,3.550,-500.8307,1.4712,175291.6250
50,-0.3250,0.3500,0.0000,0.3250,10.993,0.0000,0.4237,3.650,1.237,0.3390,3.638,0.013,0.000,0.013,0.000,0.0000,6.137,3.675,-252.1295,1.4724,357268.7812
55,-0.3750,0.3187,0.0000,0.3750,11.005,0.0000,0.4281,3.312,1.350,0.4075,3.287,0.025,0.000,0.112,0.000,0.0000,5.338,3.775,-27.9583,1.4157,254106.3594
60,-0.5875,0.2812,0.0125,0.6000,10.878,0.0000,0.5101,2.050,0.900,0.4390,2.050,0.000,0.000,0.112,0.013,0.1111,5.662,4.050,275.7832,1.3330,371028.9375
65,-0.4875,0.3063,0.0000,0.4875,10.559,0.0000,0.4628,3.175,1.288,0.4055,3.162,0.013,0.000,0.050,0.000,0.0000,5.900,4.225,86.1507,1.3610,295374.2812
70,-0.2875,0.3688,0.0250,0.3125,10.435,0.0000,0.4058,4.475,1.788,0.3994,4.350,0.112,0.013,0.075,0.025,0.3333,5.963,4.912,-153.1387,1.3535,331178.6875
75,-0.5250,0.2750,0.0000,0.5250,10.378,0.0000,0.4280,3.400,1.350,0.3971,3.362,0.000,0.038,0.062,0.000,0.0000,5.675,3.875,-529.3073,1.2744,236400.0000
80,-0.3375,0.3500,0.0125,0.3500,10.577,0.0000,0.4271,4.475,2.075,0.4637,4.438,0.013,0.025,0.075,0.013,0.1667,6.150,4.963,-227.0915,1.2396,312415.7188
80,-0.3450,0.3425,0.0050,0.3500,10.532,0.0000,0.4259,4.585,1.972,0.4302,4.517,0.043,0.025,0.078,0.005,0.0645,6.253,4.887,0.0000,0.0000,0.0000
