iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.9200,0.1750,0.0000,0.9200,9.649,0.0000,0.2401,4.600,2.340,0.5087,3.310,0.430,0.860,0.000,0.000,0.0000,7.030,5.240,0.0000,0.0000,0.0000
5,-0.4333,0.3167,0.0000,0.4333,9.919,0.0000,0.4746,2.017,0.950,0.4711,1.950,0.050,0.017,0.000,0.000,0.0000,5.183,2.967,-80.0901,1.6001,0.0256
10,-0.6333,0.2250,0.0000,0.6333,10.141,0.0000,0.4620,1.933,1.050,0.5431,1.900,0.017,0.017,0.000,0.000,0.0000,4.950,2.267,-148.7575,1.5547,0.0150
15,-0.5667,0.2500,0.0333,0.6000,10.227,0.0000,0.4242,3.383,1.983,0.5862,3.200,0.117,0.067,0.167,0.033,0.2000,4.600,2.633,-82.5448,1.5102,0.0204
20,-0.6833,0.2250,0.0000,0.6833,10.088,0.0000,0.4357,2.433,1.650,0.6781,2.300,0.067,0.067,0.067,0.000,0.0000,4.233,2.267,-37.9478,1.5090,0.0276
25,-0.6833,0.2500,0.0000,0.6833,10.486,0.0000,0.3979,3.017,1.267,0.4199,3.000,0.000,0.017,0.033,0.000,0.0000,5.250,2.767,67.1208,1.5077,0.0249
30,-0.4667,0.2917,0.0000,0.4667,10.685,0.0000,0.4183,2.350,0.983,0.4184,2.250,0.100,0.000,0.000,0.000,0.0000,4.700,2.850,-4.9209,1.4935,0.0204
35,-0.7000,0.2083,0.0000,0.7000,10.721,0.0000,0.3714,2.433,0.983,0.4041,2.300,0.050,0.083,0.050,0.000,0.0000,4.217,2.267,-23.8798,1.4534,0.0153
40,-0.5667,0.2583,0.0167,0.5833,10.797,0.0000,0.3467,2.433,1.017,0.4178,2.300,0.050,0.083,0.117,0.017,0.1429,3.917,2.283,44.3895,1.4603,0.0228
15,-0.4700,0.2933,0.0100,0.4800,10.259,0.0000,0.3319,2.187,1.397,0.6387,2.093,0.057,0.037,0.113,0.010,0.0882,3.360,2.160,0.0000,0.0000,0.0000
