iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.9200,0.1750,0.0000,0.9200,9.649,0.0000,0.2401,4.600,2.340,0.5087,3.310,0.430,0.860,0.000,0.000,0.0000,7.030,5.240,0.0000,0.0000,0.0000
5,-0.5000,0.2750,0.0000,0.5000,10.098,0.0000,0.5059,2.000,0.900,0.4500,1.917,0.067,0.017,0.000,0.000,0.0000,5.333,3.283,93.4604,1.6378,0.0158
10,-0.6333,0.2250,0.0000,0.6333,9.949,0.0000,0.4746,2.050,1.300,0.6341,2.033,0.017,0.000,0.050,0.000,0.0000,4.633,2.633,190.8326,1.6125,0.0133
15,-0.5333,0.2667,0.0167,0.5500,9.802,0.0000,0.4289,3.717,2.450,0.6592,3.567,0.050,0.100,0.267,0.017,0.0625,4.600,2.833,330.0859,1.5678,0.0239
20,-0.5667,0.2917,0.1000,0.6667,9.574,0.0000,0.3056,6.967,4.667,0.6699,5.133,0.633,1.200,0.700,0.100,0.1429,4.400,2.800,432.4562,1.5287,0.0167
25,0.4333,0.6583,1.0167,0.5833,10.098,0.0000,0.0402,12.833,9.733,0.7584,7.450,1.800,3.583,2.167,1.017,0.4692,2.633,2.350,413.4362,1.4980,0.0196
30,-0.4167,0.3083,0.1500,0.5667,9.935,0.0000,0.0395,14.983,10.467,0.6986,8.033,2.533,4.417,0.750,0.150,0.2000,4.100,3.083,499.0622,1.4629,0.0138
35,-0.2500,0.3917,0.3333,0.5833,9.990,0.0000,0.0406,16.483,11.117,0.6744,8.500,3.233,4.750,1.000,0.333,0.3333,4.900,3.083,495.1679,1.5106,0.0185
40,0.2667,0.6167,0.8500,0.5833,9.930,0.0000,0.0398,16.367,12.117,0.7403,8.983,2.750,4.633,2.017,0.850,0.4215,3.933,2.500,473.3224,1.4331,0.0148
25,0.3667,0.6450,0.8300,0.4633,10.133,0.0000,0.0438,13.007,9.527,0.7324,7.437,1.803,3.767,1.977,0.830,0.4199,3.160,2.607,0.0000,0.0000,0.0000
