iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.9200,0.1750,0.0000,0.9200,9.649,0.0000,0.2401,4.600,2.340,0.5087,3.310,0.430,0.860,0.000,0.000,0.0000,7.030,5.240,0.0000,0.0000,0.0000
5,-0.8333,0.2000,0.0000,0.8333,9.894,0.0000,0.4916,1.733,0.817,0.4712,1.683,0.017,0.033,0.000,0.000,0.0000,5.033,2.517,-0.3832,1.6164,2.3703
10,-0.6833,0.2083,0.0333,0.7167,9.934,0.0000,0.3318,4.433,2.483,0.5602,4.033,0.200,0.200,0.317,0.033,0.1053,4.333,2.983,1.5962,1.5661,4.6133
15,0.1000,0.5000,0.8833,0.7833,9.814,0.0000,0.1661,13.000,10.350,0.7962,7.867,1.900,3.233,2.267,0.883,0.3897,4.317,4.167,4.8305,1.6039,4.6338
20,-0.2500,0.4083,0.6167,0.8667,10.253,0.0000,0.0509,12.717,8.100,0.6370,7.600,2.200,2.917,1.600,0.617,0.3854,4.567,4.133,7.3122,1.6305,3.9005
25,-0.9333,0.1917,0.1333,1.0667,10.315,0.0000,0.0619,13.417,8.600,0.6410,7.417,2.400,3.600,1.233,0.133,0.1081,4.900,3.717,7.0564,1.5675,4.9714
30,0.1000,0.5917,0.8000,0.7000,10.153,0.0000,0.0549,14.883,10.783,0.7245,8.433,1.900,4.550,2.000,0.800,0.4000,4.050,3.067,11.0778,1.6226,4.2963
35,-0.0667,0.4417,0.5500,0.6167,10.250,0.0000,0.0416,17.217,12.483,0.7251,9.383,2.333,5.500,1.867,0.550,0.2946,4.783,3.367,10.7518,1.5527,4.2298
40,-0.0333,0.4917,0.6833,0.7167,9.876,0.0000,0.0379,14.683,10.167,0.6924,8.233,2.100,4.350,2.217,0.683,0.3083,4.667,3.383,10.9991,1.5763,4.8419
45,-0.1667,0.4250,0.5167,0.6833,9.932,0.0000,0.0526,11.600,7.750,0.6681,6.717,1.833,3.050,1.617,0.517,0.3196,4.117,2.650,12.9640,1.5218,4.7435
50,-0.5667,0.2750,0.2333,0.8000,10.714,0.0000,0.0695,13.433,9.567,0.7122,7.583,2.050,3.800,2.100,0.233,0.1111,4.817,3.483,13.4593,1.5123,5.3040
55,-0.7667,0.3167,0.2667,1.0333,10.830,0.0000,0.0518,13.067,8.533,0.6531,7.333,2.183,3.550,1.250,0.267,0.2133,4.717,3.083,14.7520,1.5034,4.9733
60,-0.7167,0.2833,0.3167,1.0333,11.849,0.0000,0.0567,13.267,9.033,0.6809,7.267,2.100,3.900,1.383,0.317,0.2289,4.583,2.767,14.0505,1.4625,4.6889
65,-0.5000,0.3000,0.2167,0.7167,11.197,0.0000,0.0982,11.900,7.283,0.6120,7.067,2.033,2.800,0.900,0.217,0.2407,4.900,3.633,14.1723,1.4753,5.6041
70,-0.4167,0.3250,0.3167,0.7333,12.580,0.0000,0.0495,13.133,8.467,0.6447,7.483,1.917,3.733,1.267,0.317,0.2500,4.750,4.100,13.6567,1.4963,4.6542
75,-0.1667,0.4667,0.4000,0.5667,10.263,0.0000,0.0839,11.917,8.533,0.7161,6.817,1.850,3.250,2.017,0.400,0.1983,3.750,3.083,15.5834,1.4827,6.1868
80,-0.7333,0.3000,0.2500,0.9833,10.645,0.0000,0.0786,9.967,6.350,0.6371,6.183,1.717,2.067,1.683,0.250,0.1485,4.100,2.850,17.5322,1.4561,5.9325
85,0.4000,0.6000,0.9000,0.5000,10.496,0.0000,0.0882,10.367,7.717,0.7444,7.100,1.383,1.883,2.533,0.900,0.3553,3.350,4.050,17.7783,1.4516,4.6512
90,-0.0333,0.4917,0.7000,0.7333,9.760,0.0000,0.0379,13.517,9.667,0.7152,7.467,1.983,4.067,2.200,0.700,0.3182,4.017,2.917,18.1169,1.4279,5.4627
95,-0.4833,0.3500,0.3000,0.7833,10.351,0.0000,0.0326,12.533,8.950,0.7141,7.367,1.717,3.450,1.983,0.300,0.1513,4.117,3.283,17.3647,1.3900,5.5936
100,0.0000,0.4917,0.6333,0.6333,9.579,0.0000,0.0427,17.417,11.600,0.6660,9.600,2.733,5.083,2.217,0.633,0.2857,5.283,4.317,17.3121,1.4424,4.8948
105,0.2833,0.5667,0.9667,0.6833,10.369,0.0000,0.0323,12.217,8.850,0.7244,7.150,1.850,3.217,2.900,0.967,0.3333,3.933,3.717,15.6765,1.3673,6.2582
110,-0.0333,0.4833,0.6833,0.7167,10.403,0.0000,0.0367,14.250,8.667,0.6082,9.050,2.117,3.083,2.767,0.683,0.2470,6.000,5.833,17.1116,1.3556,5.6027
115,1.5667,0.8583,2.0000,0.4333,11.178,0.0000,0.0280,9.933,8.233,0.8289,5.417,2.217,2.300,3.100,2.000,0.6452,1.933,1.800,14.4213,1.3849,6.2539
120,0.4500,0.6250,0.9333,0.4833,10.557,0.0000,0.0287,10.933,7.800,0.7134,6.817,1.300,2.817,2.417,0.933,0.3862,3.317,2.767,17.9579,1.3421,5.7627
125,-0.1833,0.4500,0.5500,0.7333,9.899,0.0000,0.0394,16.083,11.517,0.7161,8.600,2.300,5.183,2.117,0.550,0.2598,4.250,2.717,17.8566,1.3376,5.6090
130,-0.3333,0.3917,0.2667,0.6000,10.593,0.0000,0.0281,11.583,7.550,0.6518,6.783,1.733,3.067,1.567,0.267,0.1702,4.183,3.333,17.9463,1.3918,4.7381
135,-0.5000,0.3083,0.1167,0.6167,10.626,0.0000,0.0364,16.267,8.450,0.5195,9.833,2.450,3.983,0.650,0.117,0.1795,6.900,5.383,15.6033,1.3543,4.8103
140,-0.2333,0.3750,0.4167,0.6500,12.141,0.0000,0.0262,11.267,5.983,0.5311,7.150,1.517,2.600,1.117,0.417,0.3731,4.950,3.967,17.7950,1.3678,4.8134
145,-0.1333,0.4500,0.9833,1.1167,10.703,0.0000,0.0331,12.517,9.550,0.7630,6.567,2.200,3.750,2.933,0.983,0.3352,3.700,3.183,16.0879,1.3506,5.0337
150,0.1167,0.5583,1.0833,0.9667,10.556,0.0000,0.0324,12.583,8.917,0.7086,7.433,1.867,3.283,2.517,1.083,0.4305,3.767,3.350,19.1426,1.3686,4.7036
155,-0.5500,0.2833,0.3667,0.9167,10.325,0.0000,0.0307,12.900,7.900,0.6124,7.433,2.417,3.050,1.433,0.367,0.2558,4.983,3.583,17.1441,1.3341,4.8441
160,0.1500,0.5833,0.6000,0.4500,10.634,0.0000,0.0272,11.350,7.917,0.6975,6.500,1.683,3.167,1.300,0.600,0.4615,2.967,2.517,14.6741,1.3538,5.6054
165,-0.3167,0.4083,1.2500,1.5667,11.083,0.0000,0.0347,13.233,9.600,0.7254,7.617,2.467,3.150,2.333,1.250,0.5357,3.467,2.317,15.4119,1.3549,5.3471
170,-0.7833,0.2250,0.1667,0.9500,12.615,0.0000,0.0251,11.167,6.717,0.6015,6.167,2.133,2.867,0.650,0.167,0.2564,4.183,2.467,15.9076,1.3013,6.8839
175,-0.6500,0.2833,0.2500,0.9000,12.399,0.0000,0.0252,10.850,6.250,0.5760,6.233,1.917,2.700,0.883,0.250,0.2830,4.300,2.900,13.7517,1.2916,6.0104
180,-0.1000,0.4833,0.6667,0.7667,11.319,0.0000,0.0320,12.300,8.950,0.7276,6.667,2.133,3.500,2.000,0.667,0.3333,3.650,2.667,13.9661,1.3043,6.3926
185,-0.0833,0.4833,0.4667,0.5500,10.941,0.0000,0.0353,14.333,9.733,0.6791,6.800,3.300,4.233,1.900,0.467,0.2456,4.850,3.367,13.3992,1.3119,5.4604
190,-0.2000,0.3917,0.8333,1.0333,11.763,0.0000,0.0300,12.117,8.150,0.6726,7.150,2.017,2.950,1.800,0.833,0.4630,3.867,3.300,14.2660,1.3112,6.3629
195,-0.1667,0.4667,0.7667,0.9333,10.726,0.0000,0.0352,13.967,10.033,0.7184,7.750,1.783,4.433,2.150,0.767,0.3566,4.167,3.600,14.0645,1.3440,5.3222
200,-0.5833,0.2750,0.1833,0.7667,11.880,0.0000,0.0243,10.000,6.550,0.6550,5.833,1.517,2.650,1.450,0.183,0.1264,3.700,2.417,15.9453,1.3204,5.0898
205,-0.2833,0.3667,0.2833,0.5667,11.451,0.0000,0.0221,9.050,5.533,0.6114,5.750,1.350,1.950,1.283,0.283,0.2208,3.617,2.617,16.1303,1.3351,6.1133
210,-0.9833,0.1667,0.3833,1.3667,10.992,0.0000,0.0292,11.233,7.750,0.6899,6.167,2.383,2.683,2.183,0.383,0.1756,4.317,2.867,17.1857,1.3293,5.5958
215,-0.3167,0.3833,0.9667,1.2833,10.795,0.0000,0.0461,12.667,7.350,0.5803,7.867,2.167,2.633,1.967,0.967,0.4915,5.233,3.967,16.7008,1.3373,5.4216
220,-0.3833,0.3417,0.2833,0.6667,11.550,0.0000,0.0307,9.900,5.567,0.5623,6.183,1.517,2.200,1.050,0.283,0.2698,4.183,3.350,19.4629,1.3130,6.1554
225,-0.3500,0.3667,0.3000,0.6500,12.447,0.0000,0.0364,9.800,5.933,0.6054,5.917,1.650,2.233,1.233,0.300,0.2432,3.600,3.383,19.8336,1.3381,5.0353
230,-0.4167,0.3417,0.2500,0.6667,11.298,0.0000,0.0379,10.983,6.117,0.5569,7.033,1.633,2.317,1.167,0.250,0.2143,4.700,3.617,17.9154,1.3218,5.6618
235,-0.4000,0.3417,0.2667,0.6667,11.476,0.0000,0.0813,9.433,5.467,0.5795,6.067,1.450,1.917,0.633,0.267,0.4211,4.067,3.100,17.3579,1.3149,6.9481
240,-0.7833,0.2167,0.2333,1.0167,11.330,0.0000,0.0567,9.933,6.333,0.6376,6.050,1.583,2.300,1.000,0.233,0.2333,3.817,2.133,17.8515,1.3161,5.0876
245,-0.4000,0.3667,0.4500,0.8500,10.657,0.0000,0.0474,10.450,6.750,0.6459,6.433,1.683,2.333,1.950,0.450,0.2308,4.083,3.633,17.8088,1.2731,6.5286
250,-0.3333,0.3750,0.2667,0.6000,10.550,0.0000,0.0546,10.100,6.633,0.6568,6.167,1.850,2.083,1.917,0.267,0.1391,4.167,3.500,17.2418,1.3043,6.1206
255,-0.0333,0.4750,0.7167,0.7500,10.945,0.0000,0.0638,10.583,7.017,0.6630,6.267,1.617,2.700,1.550,0.717,0.4624,3.533,2.583,14.5632,1.2746,5.3043
