iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.3200,0.3850,0.0000,0.3200,10.624,0.0000,0.0254,4.730,2.510,0.5307,2.650,0.710,1.370,0.000,0.000,0.0000,3.930,2.110,0.0000,0.0000,0.0000
5,-0.4125,0.3125,0.0000,0.4125,10.858,0.0000,0.5642,0.788,0.438,0.5556,0.775,0.013,0.000,0.000,0.000,0.0000,5.875,3.612,-366.6926,1.3137,260566.0000
10,-0.3750,0.3375,0.0000,0.3750,10.583,0.0000,0.5293,0.925,0.575,0.6216,0.925,0.000,0.000,0.000,0.000,0.0000,6.412,4.075,-478.5714,1.2851,213393.7344
15,-0.4125,0.2937,0.0000,0.4125,10.363,0.0000,0.5076,2.100,1.075,0.5119,2.075,0.013,0.013,0.000,0.000,0.0000,6.075,3.938,-416.9007,1.3752,258859.7500
20,-0.2875,0.3562,0.0000,0.2875,10.683,0.0000,0.4633,3.812,2.125,0.5574,3.588,0.125,0.100,0.000,0.000,0.0000,5.963,4.262,-784.2219,1.5511,339087.1250
25,-0.3750,0.3375,0.0000,0.3750,10.411,0.0000,0.4225,4.387,2.312,0.5271,3.963,0.213,0.213,0.000,0.000,0.0000,5.800,4.450,-467.8214,1.6368,167241.2656
30,-0.3500,0.3313,0.0000,0.3500,10.430,0.0000,0.3972,4.162,1.950,0.4685,3.688,0.162,0.312,0.025,0.000,0.0000,5.450,4.225,-575.0170,1.7374,211116.2031
35,-0.2875,0.3625,0.0000,0.2875,10.579,0.0000,0.4034,2.263,1.050,0.4641,2.138,0.100,0.025,0.000,0.000,0.0000,5.613,4.312,-511.7938,1.6970,168807.5781
40,-0.3875,0.3313,0.0000,0.3875,10.437,0.0000,0.4038,1.125,0.500,0.4444,1.062,0.025,0.038,0.000,0.000,0.0000,5.950,4.025,-535.9818,1.6655,164447.3438
45,-0.3750,0.3438,0.0000,0.3750,10.726,0.0000,0.3536,1.150,0.625,0.5435,0.988,0.125,0.038,0.000,0.000,0.0000,4.575,2.425,-996.0953,1.6679,371596.8125
50,-0.2500,0.3750,0.0250,0.2750,10.572,0.0000,0.3014,2.713,1.513,0.5576,2.037,0.250,0.425,0.050,0.025,0.5000,3.963,2.088,-672.6658,1.6199,204563.4531
55,-0.2625,0.3812,0.0375,0.3000,10.538,0.0000,0.1984,3.037,1.862,0.6132,2.000,0.200,0.837,0.087,0.038,0.4286,3.725,2.638,-779.6375,1.6166,243116.7969
60,-0.2000,0.4000,0.0000,0.2000,10.838,0.0000,0.1237,0.887,0.387,0.4366,0.825,0.013,0.050,0.000,0.000,0.0000,3.562,2.237,-376.8209,1.4949,45077.0742
65,-0.2875,0.3562,0.0000,0.2875,10.779,0.0000,0.1461,0.850,0.375,0.4412,0.837,0.000,0.013,0.000,0.000,0.0000,4.150,2.400,-735.4205,1.4919,203263.9062
70,-0.2625,0.3750,0.0000,0.2625,10.782,0.0000,0.2659,1.062,0.425,0.4000,0.800,0.100,0.162,0.000,0.000,0.0000,4.562,3.037,-413.3022,1.5043,41456.6367
75,-0.3750,0.3125,0.0000,0.3750,11.007,0.0000,0.3612,2.612,1.325,0.5072,2.013,0.262,0.338,0.025,0.000,0.0000,4.662,2.963,-599.8177,1.5218,122076.5859
80,-0.3250,0.3438,0.0000,0.3250,10.561,0.0000,0.3202,6.975,1.850,0.2652,5.375,0.613,0.988,0.138,0.000,0.0000,7.438,5.625,-791.3527,1.5230,202503.5781
20,-0.3850,0.3225,0.0000,0.3850,11.017,0.0000,0.4555,3.773,1.930,0.5116,3.630,0.095,0.047,0.000,0.000,0.0000,5.787,4.218,0.0000,0.0000,0.0000
