iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-1.0600,0.1850,0.0000,1.0600,9.934,0.0000,0.0555,3.190,1.870,0.5862,2.590,0.110,0.490,0.000,0.000,0.0000,6.450,3.360,0.0000,0.0000,0.0000
5,-0.8500,0.1917,0.0000,0.8500,9.909,0.0000,0.5093,1.817,0.667,0.3670,1.783,0.033,0.000,0.000,0.000,0.0000,5.467,3.350,76.1619,1.4838,0.0110
10,-0.6500,0.2083,0.0333,0.6833,9.928,0.0000,0.4153,4.250,2.900,0.6824,4.183,0.067,0.000,0.383,0.033,0.0870,4.783,2.950,119.7177,1.5713,0.0149
15,-0.5833,0.2500,0.0000,0.5833,10.256,0.0000,0.5070,2.183,1.333,0.6107,2.150,0.017,0.017,0.000,0.000,0.0000,4.850,3.083,193.0071,1.5952,0.0149
20,-0.6833,0.2000,0.0000,0.6833,11.139,0.0000,0.4903,4.017,1.650,0.4108,4.017,0.000,0.000,0.000,0.000,0.0000,6.400,3.717,239.0516,1.6276,0.0188
25,-0.3500,0.3500,0.2000,0.5500,9.997,0.0000,0.2657,7.300,3.950,0.5411,5.417,1.350,0.533,1.000,0.200,0.2000,3.483,3.100,251.0699,1.5877,0.0146
30,-0.2833,0.4250,0.2667,0.5500,9.989,0.0000,0.2407,8.100,4.550,0.5617,4.700,2.167,1.233,1.583,0.267,0.1684,3.933,3.017,216.1157,1.5473,0.0166
35,-0.3500,0.3583,0.0667,0.4167,9.872,0.0000,0.2108,7.017,3.217,0.4584,6.233,0.467,0.317,0.500,0.067,0.1333,3.383,3.083,211.7745,1.5243,0.0166
40,-0.3833,0.3250,0.0333,0.4167,10.038,0.0000,0.2869,7.250,3.800,0.5241,5.983,0.967,0.300,0.617,0.033,0.0541,3.083,3.633,89.9675,1.5361,0.0121
45,0.2667,0.6250,0.6667,0.4000,10.116,0.0000,0.0753,14.917,10.667,0.7151,8.667,1.983,4.267,1.750,0.667,0.3810,3.850,2.700,251.7901,1.4557,0.0177
50,0.2500,0.6083,0.8000,0.5500,10.203,0.0000,0.0409,15.317,11.167,0.7291,8.783,2.100,4.433,1.850,0.800,0.4324,3.933,2.433,340.0262,1.4321,0.0177
55,0.2833,0.6167,0.8000,0.5167,10.816,0.0000,0.0324,13.667,9.533,0.6976,8.067,2.133,3.467,1.400,0.800,0.5714,3.700,2.133,241.8114,1.4097,0.0165
60,-0.5333,0.2750,0.0667,0.6000,11.205,0.0000,0.0290,12.983,7.717,0.5944,7.317,1.850,3.817,0.517,0.067,0.1290,4.567,3.017,228.8238,1.4081,0.0168
65,-0.7500,0.2083,0.0500,0.8000,11.296,0.0000,0.0264,11.917,6.833,0.5734,7.050,1.900,2.967,0.517,0.050,0.0968,4.433,2.517,219.1826,1.4359,0.0189
70,-0.5667,0.2833,0.1667,0.7333,11.113,0.0000,0.0276,11.933,7.017,0.5880,7.200,1.600,3.133,0.917,0.167,0.1818,4.500,2.483,206.4748,1.4340,0.0153
75,-0.6000,0.2417,0.0667,0.6667,11.327,0.0000,0.0255,11.400,6.483,0.5687,6.917,1.583,2.900,0.600,0.067,0.1111,4.350,2.767,236.0034,1.4263,0.0130
80,-0.5167,0.2917,0.0833,0.6000,11.980,0.0000,0.0256,11.567,6.183,0.5346,7.333,1.383,2.850,0.383,0.083,0.2174,4.550,3.000,240.1396,1.4335,0.0124
85,-0.4333,0.3000,0.1000,0.5333,10.667,0.0000,0.0230,10.133,6.100,0.6020,5.867,1.733,2.533,0.650,0.100,0.1538,3.617,1.917,195.0813,1.3729,0.0095
90,-0.5333,0.3000,0.0667,0.6000,12.133,0.0000,0.0264,11.783,6.250,0.5304,7.350,1.650,2.783,0.600,0.067,0.1111,5.000,3.150,278.0642,1.3262,0.0129
95,-0.2500,0.3833,0.1667,0.4167,11.259,0.0000,0.0254,11.000,6.417,0.5833,6.750,1.750,2.500,0.867,0.167,0.1923,3.883,2.967,285.3156,1.3450,0.0128
100,-0.6667,0.2583,0.0333,0.7000,10.958,0.0000,0.0310,13.967,8.033,0.5752,6.817,4.100,3.050,0.550,0.033,0.0606,4.150,3.100,292.8013,1.3382,0.0133
105,-0.3833,0.3250,0.2167,0.6000,11.880,0.0000,0.0234,10.117,5.467,0.5404,6.450,1.700,1.967,0.850,0.217,0.2549,4.250,3.283,335.0754,1.4100,0.0165
110,-0.3667,0.3500,0.2000,0.5667,11.230,0.0000,0.0283,12.383,7.550,0.6097,7.183,2.017,3.183,0.900,0.200,0.2222,4.350,2.867,324.5678,1.3787,0.0129
115,-0.4000,0.3000,0.2000,0.6000,12.014,0.0000,0.0243,10.717,5.933,0.5537,6.483,1.833,2.400,0.700,0.200,0.2857,4.400,3.183,250.0340,1.3343,0.0119
120,-0.3667,0.3583,0.2333,0.6000,11.488,0.0000,0.0252,10.433,6.250,0.5990,6.300,1.700,2.433,1.300,0.233,0.1795,4.067,2.783,247.8334,1.3761,0.0122
125,0.3667,0.6417,0.8667,0.5000,10.837,0.0000,0.0317,12.133,8.967,0.7390,7.517,1.717,2.900,2.633,0.867,0.3291,3.300,2.767,287.3458,1.3300,0.0159
130,-0.0333,0.4750,0.5333,0.5667,11.026,0.0000,0.0277,11.400,7.367,0.6462,6.767,1.800,2.833,1.533,0.533,0.3478,4.300,2.800,320.0356,1.3278,0.0146
135,0.3500,0.6083,0.7667,0.4167,11.083,0.0000,0.0288,11.000,7.450,0.6773,7.000,1.383,2.617,2.083,0.767,0.3680,3.700,2.950,391.0792,1.3435,0.0158
140,-0.4500,0.3167,0.1667,0.6167,10.802,0.0000,0.0287,12.033,6.900,0.5734,7.700,1.567,2.767,1.217,0.167,0.1370,4.767,3.550,319.9754,1.2904,0.0135
145,0.3333,0.6417,0.8333,0.5000,10.649,0.0000,0.0321,12.900,8.333,0.6460,8.250,1.667,2.983,2.017,0.833,0.4132,4.617,3.300,350.1083,1.2605,0.0132
150,0.5333,0.6833,0.9500,0.4167,10.301,0.0000,0.0352,13.867,9.750,0.7031,8.367,1.933,3.567,2.483,0.950,0.3826,4.517,3.333,321.9436,1.2682,0.0137
155,0.4000,0.6667,1.0500,0.6500,10.944,0.0000,0.0317,12.483,8.467,0.6782,8.050,1.750,2.683,2.317,1.050,0.4532,4.783,3.367,311.6505,1.2061,0.0153
160,-0.5500,0.2667,0.1833,0.7333,11.138,0.0000,0.0288,12.100,7.017,0.5799,7.700,1.683,2.717,1.333,0.183,0.1375,5.500,3.717,326.7092,1.2087,0.0118
165,-0.2833,0.3667,0.3167,0.6000,11.599,0.0000,0.0279,11.417,7.317,0.6409,6.933,1.867,2.617,1.617,0.317,0.1959,4.533,3.250,341.5553,1.1597,0.0148
170,0.2500,0.6083,0.7833,0.5333,10.938,0.0000,0.0320,12.833,8.317,0.6481,7.950,1.767,3.117,2.067,0.783,0.3790,4.983,3.333,305.9934,1.1826,0.0123
175,0.2167,0.6000,1.0167,0.8000,10.596,0.0000,0.0354,13.817,9.383,0.6791,8.200,2.050,3.567,2.183,1.017,0.4656,4.483,3.133,289.4251,1.1303,0.0140
180,0.4667,0.6833,1.1333,0.6667,10.309,0.0000,0.0528,15.500,11.500,0.7419,8.600,2.933,3.967,2.667,1.133,0.4250,4.617,3.283,338.0537,1.1337,0.0118
