iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-1.0600,0.1850,0.0000,1.0600,9.934,0.0000,0.0555,3.190,1.870,0.5862,2.590,0.110,0.490,0.000,0.000,0.0000,6.450,3.360,0.0000,0.0000,0.0000
5,-0.6833,0.2333,0.0000,0.6833,9.837,0.0000,0.4933,1.833,1.117,0.6091,1.817,0.000,0.017,0.000,0.000,0.0000,5.817,3.250,80.7482,1.5085,0.0092
10,-0.4333,0.3083,0.0333,0.4667,10.030,0.0000,0.4088,3.117,2.067,0.6631,3.033,0.083,0.000,0.233,0.033,0.1429,4.283,2.783,99.1121,1.6028,0.0109
15,-0.4667,0.3000,0.0000,0.4667,10.178,0.0000,0.4530,2.533,1.217,0.4803,2.533,0.000,0.000,0.083,0.000,0.0000,4.833,2.883,186.2510,1.5236,0.0129
20,-0.0333,0.4500,0.3500,0.3833,9.584,0.0000,0.2214,11.150,8.483,0.7608,6.717,1.983,2.450,1.567,0.350,0.2234,3.517,3.267,202.6569,1.4270,0.0154
25,-0.4333,0.3417,0.1333,0.5667,9.734,0.0000,0.1635,13.000,9.683,0.7449,8.233,1.800,2.967,1.967,0.133,0.0678,4.783,3.550,207.6977,1.3879,0.0129
30,-0.2333,0.4000,0.2833,0.5167,9.306,0.0000,0.0773,26.267,19.783,0.7532,9.567,9.083,7.617,2.650,0.283,0.1069,5.633,4.767,197.1688,1.4679,0.0139
35,-0.3667,0.3583,0.2833,0.6500,9.623,0.0000,0.0726,18.850,14.617,0.7754,9.767,2.900,6.183,2.617,0.283,0.1083,4.850,3.467,245.4813,1.4151,0.0122
40,-0.3167,0.4000,0.2667,0.5833,9.262,0.0000,0.0745,22.567,18.417,0.8161,10.400,4.183,7.983,2.700,0.267,0.0988,4.600,3.700,202.1656,1.3495,0.0098
30,-0.1800,0.4317,0.2767,0.4567,9.264,0.0000,0.0812,26.400,20.050,0.7595,9.803,8.190,8.407,2.750,0.277,0.1006,5.783,4.947,0.0000,0.0000,0.0000
