iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.4600,0.3100,0.0000,0.4600,9.856,0.0000,0.0386,11.450,9.210,0.8044,6.070,1.750,3.630,0.000,0.000,0.0000,2.430,0.940,0.0000,0.0000,0.0000
5,-0.5750,0.2458,0.0000,0.5750,9.929,0.0000,0.4934,2.175,1.108,0.5096,2.142,0.033,0.000,0.000,0.000,0.0000,4.842,2.808,2.3504,0.4414,1.4340
10,-0.6750,0.2167,0.0000,0.6750,10.052,0.0000,0.4482,2.992,1.817,0.6072,2.958,0.017,0.017,0.000,0.000,0.0000,4.425,2.775,5.4782,0.4740,2.9340
15,-0.5583,0.2750,0.0000,0.5583,9.944,0.0000,0.4394,3.450,1.667,0.4831,3.425,0.017,0.008,0.075,0.000,0.0000,4.858,3.183,7.7353,0.6909,2.1193
20,-0.2417,0.4042,0.2167,0.4583,10.051,0.0000,0.3584,6.542,4.717,0.7210,4.817,1.225,0.500,0.725,0.217,0.2989,4.058,2.917,9.9780,0.6566,2.1165
25,0.2750,0.5917,0.8250,0.5500,9.418,0.0000,0.2457,10.525,8.283,0.7870,6.975,1.550,2.000,2.125,0.825,0.3882,4.183,3.150,9.4343,0.6530,1.9156
30,0.4917,0.6833,1.0000,0.5083,9.422,0.0000,0.2215,11.192,9.058,0.8094,7.108,1.725,2.358,2.167,1.000,0.4615,3.575,2.950,10.5936,0.6048,2.1203
35,0.3750,0.6500,0.9500,0.5750,9.548,0.0000,0.2289,9.725,7.917,0.8141,6.350,1.508,1.867,2.042,0.950,0.4653,3.383,2.592,9.3815,0.6164,2.2805
40,-0.3083,0.3542,0.0833,0.3917,10.077,0.0000,0.3582,7.033,4.558,0.6481,5.550,1.000,0.483,0.483,0.083,0.1724,4.242,3.700,12.9151,0.6222,2.4551
45,0.4667,0.6875,1.0167,0.5500,9.202,0.0000,0.2051,12.025,9.750,0.8108,7.075,1.950,3.000,2.358,1.017,0.4311,3.392,2.567,13.2102,0.6570,2.5179
50,0.5167,0.7000,0.9833,0.4667,9.131,0.0000,0.1769,13.333,10.717,0.8037,7.800,1.958,3.575,2.483,0.983,0.3960,3.892,2.617,14.7882,0.6635,2.1685
55,0.5167,0.6917,1.0167,0.5000,9.271,0.0000,0.2418,10.792,8.650,0.8015,6.883,1.667,2.242,2.200,1.017,0.4621,3.675,2.675,14.0249,0.6599,2.8116
60,0.5500,0.7333,0.9750,0.4250,8.907,0.0000,0.0828,25.708,21.792,0.8476,12.083,3.842,9.783,2.133,0.975,0.4570,3.658,2.733,13.0994,0.6905,2.1924
65,0.4500,0.6750,1.0250,0.5750,9.995,0.0000,0.0618,12.642,8.775,0.6941,7.992,1.542,3.108,2.358,1.025,0.4346,4.125,4.083,13.5192,0.6742,2.4140
70,0.5500,0.7125,1.0333,0.4833,10.094,0.0000,0.0576,13.367,10.433,0.7805,7.317,1.592,4.458,2.308,1.033,0.4477,2.650,2.292,13.7461,0.7157,3.0803
75,0.5000,0.7083,1.0167,0.5167,9.983,0.0000,0.0541,12.600,9.308,0.7388,7.150,1.742,3.708,2.300,1.017,0.4420,3.325,2.658,15.9111,0.7369,2.6466
80,0.6750,0.7750,1.0333,0.3583,10.280,0.0000,0.0462,12.042,8.950,0.7433,7.083,1.450,3.508,2.125,1.033,0.4863,3.200,2.683,15.7701,0.7636,2.8518
85,0.6583,0.7417,1.0917,0.4333,9.860,0.0000,0.0352,12.567,9.842,0.7832,6.950,1.567,4.050,2.925,1.092,0.3732,2.783,2.583,18.1216,0.7843,2.1652
90,0.8667,0.7875,1.2833,0.4167,9.781,0.0000,0.0424,14.408,11.342,0.7872,8.367,1.825,4.217,2.975,1.283,0.4314,3.408,3.058,16.4683,0.7784,2.6408
95,1.1167,0.8292,1.5083,0.3917,9.961,0.0000,0.0774,12.008,9.492,0.7904,7.675,1.625,2.708,3.033,1.508,0.4973,2.625,2.617,16.4897,0.7406,2.9677
100,0.5750,0.7167,1.1667,0.5917,9.914,0.0000,0.0971,12.192,9.817,0.8052,7.150,1.658,3.383,2.942,1.167,0.3966,2.742,2.600,16.2091,0.7433,2.6811
105,0.5583,0.6958,1.0917,0.5333,10.303,0.0000,0.0830,13.517,8.717,0.6449,9.167,1.425,2.925,2.650,1.092,0.4119,5.425,4.283,14.4685,0.7527,2.6153
110,0.5250,0.6708,1.2750,0.7500,10.062,0.0000,0.0514,13.883,11.217,0.8079,7.767,1.783,4.333,2.867,1.275,0.4448,2.783,2.750,15.8665,0.7213,2.9245
115,0.5167,0.6833,0.9750,0.4583,10.151,0.0000,0.0832,13.500,10.075,0.7463,8.267,1.617,3.617,2.625,0.975,0.3714,3.742,3.617,15.4581,0.7036,3.0185
120,0.4250,0.6875,0.9417,0.5167,10.558,0.0000,0.1333,10.150,7.733,0.7619,6.842,1.425,1.883,2.133,0.942,0.4414,3.092,3.683,14.5077,0.7152,3.6473
95,1.2133,0.8467,1.5667,0.3533,9.941,0.0000,0.0740,12.033,9.700,0.8061,7.670,1.580,2.783,3.060,1.567,0.5120,2.627,2.327,0.0000,0.0000,0.0000
