iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-1.0900,0.1700,0.0000,1.0900,12.511,0.0000,0.2948,3.640,1.870,0.5137,3.260,0.130,0.250,0.010,0.000,0.0000,5.290,2.200,0.0000,0.0000,0.0000
5,-0.6333,0.2250,0.0000,0.6333,10.138,0.0000,0.4674,1.217,0.833,0.6849,1.183,0.033,0.000,0.000,0.000,0.0000,4.517,2.683,25.8184,1.6318,0.0091
10,-0.4833,0.2833,0.0000,0.4833,10.507,0.0000,0.4905,1.417,0.883,0.6235,1.400,0.017,0.000,0.000,0.000,0.0000,4.733,3.117,25.4986,1.6360,0.0097
15,-0.6500,0.2500,0.0000,0.6500,10.628,0.0000,0.5093,1.567,1.017,0.6489,1.550,0.017,0.000,0.000,0.000,0.0000,4.417,2.633,54.0314,1.5633,0.0173
20,-0.6833,0.2250,0.0000,0.6833,10.430,0.0000,0.4505,1.933,1.167,0.6034,1.933,0.000,0.000,0.000,0.000,0.0000,4.533,2.750,80.5659,1.4637,0.0140
25,-0.5833,0.2417,0.0000,0.5833,10.678,0.0000,0.5190,1.383,0.783,0.5663,1.383,0.000,0.000,0.000,0.000,0.0000,4.400,2.683,105.6059,1.4627,0.0121
30,-0.5333,0.2750,0.0000,0.5333,10.771,0.0000,0.4544,2.617,1.500,0.5732,2.583,0.017,0.017,0.017,0.000,0.0000,3.567,2.567,175.2554,1.4412,0.0141
35,-0.5833,0.2333,0.0000,0.5833,10.537,0.0000,0.5003,1.867,1.183,0.6339,1.850,0.000,0.017,0.000,0.000,0.0000,4.017,1.967,63.7249,1.4655,0.0169
40,-0.5333,0.2583,0.0000,0.5333,10.571,0.0000,0.4813,1.850,0.967,0.5225,1.833,0.017,0.000,0.000,0.000,0.0000,4.467,2.333,90.9200,1.4417,0.0148
10,-0.5033,0.2683,0.0000,0.5033,10.991,0.0000,0.5090,1.357,0.920,0.6781,1.337,0.020,0.000,0.000,0.000,0.0000,4.257,2.390,0.0000,0.0000,0.0000
