iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.9800,0.1500,0.0000,0.9800,10.026,0.0000,0.0537,3.410,2.090,0.6129,2.680,0.080,0.650,0.000,0.000,0.0000,6.550,3.950,0.0000,0.0000,0.0000
5,-0.7000,0.2083,0.0000,0.7000,9.807,0.0000,0.4724,1.567,1.050,0.6702,1.550,0.017,0.000,0.000,0.000,0.0000,4.867,3.033,87.7394,1.4607,0.0186
10,-0.5833,0.2417,0.0000,0.5833,10.046,0.0000,0.4717,2.050,1.267,0.6179,2.017,0.033,0.000,0.000,0.000,0.0000,4.467,2.500,50.1752,1.5221,0.0155
15,-0.4667,0.2833,0.0000,0.4667,10.031,0.0000,0.4891,1.867,1.267,0.6786,1.850,0.017,0.000,0.000,0.000,0.0000,4.600,2.833,33.9572,1.4449,0.0110
20,-0.4167,0.3083,0.0000,0.4167,10.108,0.0000,0.4729,2.633,1.683,0.6392,2.417,0.133,0.083,0.100,0.000,0.0000,4.117,2.500,100.8989,1.4664,0.0150
25,-0.4833,0.2667,0.0000,0.4833,10.347,0.0000,0.4982,1.667,1.050,0.6300,1.667,0.000,0.000,0.050,0.000,0.0000,3.817,2.350,101.8448,1.4739,0.0140
30,-0.6500,0.2333,0.0000,0.6500,10.415,0.0000,0.4683,2.167,1.133,0.5231,2.150,0.017,0.000,0.000,0.000,0.0000,4.483,2.133,112.8802,1.4327,0.0137
35,-0.5333,0.2500,0.0000,0.5333,10.692,0.0000,0.4848,2.317,1.633,0.7050,2.317,0.000,0.000,0.033,0.000,0.0000,4.117,2.250,170.7618,1.4604,0.0186
40,-0.5167,0.2500,0.0000,0.5167,10.692,0.0000,0.4548,2.317,1.450,0.6259,2.233,0.067,0.017,0.067,0.000,0.0000,4.200,2.350,192.9416,1.4279,0.0132
20,-0.4900,0.2850,0.0133,0.5033,10.567,0.0000,0.4421,2.913,1.963,0.6739,2.833,0.040,0.040,0.100,0.013,0.1333,3.897,2.217,0.0000,0.0000,0.0000
