iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-1.0800,0.1500,0.0000,1.0800,10.020,0.0000,0.0589,3.250,2.030,0.6246,2.730,0.060,0.460,0.000,0.000,0.0000,6.280,3.390,0.0000,0.0000,0.0000
5,-0.5833,0.2500,0.0000,0.5833,9.931,0.0000,0.5052,1.233,0.767,0.6216,1.100,0.133,0.000,0.000,0.000,0.0000,4.817,3.300,143.1405,1.4542,0.0135
10,-0.6833,0.2000,0.0000,0.6833,10.449,0.0000,0.4854,1.717,1.217,0.7087,1.683,0.017,0.017,0.017,0.000,0.0000,5.850,3.500,147.9059,1.5836,0.0158
15,-0.6000,0.2500,0.0000,0.6000,10.499,0.0000,0.4589,2.800,1.567,0.5595,2.217,0.567,0.017,0.067,0.000,0.0000,5.483,3.883,181.8756,1.5832,0.0159
20,-0.5667,0.2667,0.0000,0.5667,11.371,0.0000,0.4459,1.850,1.000,0.5405,1.783,0.050,0.017,0.017,0.000,0.0000,5.783,4.100,112.4354,1.5948,0.0124
25,-0.6500,0.2167,0.0000,0.6500,11.151,0.0000,0.4411,1.567,0.983,0.6277,1.517,0.033,0.017,0.017,0.000,0.0000,5.800,3.767,101.9047,1.5209,0.0128
30,-0.4333,0.3167,0.0667,0.5000,10.736,0.0000,0.3073,5.850,2.533,0.4330,4.967,0.567,0.317,0.350,0.067,0.1905,4.933,3.550,104.1437,1.4772,0.0211
35,-0.5500,0.3750,0.2167,0.7667,10.481,0.0000,0.2053,9.583,6.933,0.7235,5.233,1.967,2.383,1.767,0.217,0.1226,3.517,2.733,150.9695,1.4234,0.0103
40,-0.3000,0.3583,0.0333,0.3333,10.462,0.0000,0.2831,4.850,1.950,0.4021,3.050,1.117,0.683,0.283,0.033,0.1176,3.717,2.500,111.2903,1.4093,0.0132
45,-0.4500,0.3000,0.1333,0.5833,10.318,0.0000,0.2423,6.067,3.617,0.5962,3.300,1.533,1.233,0.633,0.133,0.2105,3.233,1.967,74.3464,1.3466,0.0162
50,-0.5000,0.3333,0.1333,0.6333,10.502,0.0000,0.3307,5.333,3.583,0.6719,3.333,1.483,0.517,0.650,0.133,0.2051,3.783,2.533,105.6069,1.3665,0.0157
55,-0.6833,0.2667,0.1000,0.7833,10.712,0.0000,0.3294,5.200,2.750,0.5288,3.883,1.100,0.217,0.417,0.100,0.2400,4.417,2.550,199.5380,1.2931,0.0194
60,-0.4000,0.3583,0.3000,0.7000,10.040,0.0000,0.1382,10.783,7.300,0.6770,5.183,2.317,3.283,1.217,0.300,0.2466,3.767,2.067,193.5221,1.2627,0.0171
60,-0.5867,0.3067,0.3200,0.9067,10.050,0.0000,0.1252,10.237,6.737,0.6581,4.977,2.110,3.150,1.113,0.320,0.2874,3.507,2.083,0.0000,0.0000,0.0000
