iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.8900,0.2050,0.0000,0.8900,10.021,0.0000,0.0599,3.510,2.280,0.6496,2.900,0.040,0.570,0.000,0.000,0.0000,6.110,4.110,0.0000,0.0000,0.0000
5,-0.6000,0.2500,0.0000,0.6000,10.006,0.0000,0.4741,2.150,1.083,0.5039,2.050,0.100,0.000,0.000,0.000,0.0000,5.533,4.000,144.0190,1.4273,0.0093
10,-0.5500,0.2583,0.0167,0.5667,10.281,0.0000,0.4570,1.683,1.100,0.6535,1.583,0.100,0.000,0.050,0.017,0.3333,4.567,3.267,93.7096,1.5490,0.0146
15,-0.6833,0.2000,0.0000,0.6833,10.078,0.0000,0.4592,1.350,1.067,0.7901,1.333,0.017,0.000,0.000,0.000,0.0000,4.217,2.667,117.6663,1.4873,0.0137
20,-0.6833,0.2167,0.0000,0.6833,10.277,0.0000,0.4621,1.833,1.217,0.6636,1.767,0.067,0.000,0.000,0.000,0.0000,4.417,2.883,130.8650,1.4247,0.0134
25,-0.6167,0.2500,0.0000,0.6167,10.296,0.0000,0.4723,1.917,1.383,0.7217,1.883,0.033,0.000,0.033,0.000,0.0000,5.017,3.283,98.7128,1.3655,0.0121
30,-0.7000,0.2250,0.0000,0.7000,10.199,0.0000,0.4842,1.533,1.083,0.7065,1.533,0.000,0.000,0.000,0.000,0.0000,4.833,3.483,163.4068,1.3613,0.0149
35,-0.4500,0.3000,0.0000,0.4500,10.638,0.0000,0.4347,2.417,1.567,0.6483,2.367,0.033,0.017,0.050,0.000,0.0000,4.117,3.267,122.9433,1.3297,0.0125
40,-0.6667,0.2000,0.0000,0.6667,10.633,0.0000,0.4130,2.117,1.050,0.4961,2.017,0.100,0.000,0.050,0.000,0.0000,4.183,3.250,128.8909,1.3599,0.0157
45,-0.6000,0.2667,0.0000,0.6000,10.600,0.0000,0.4358,2.467,1.400,0.5676,2.400,0.067,0.000,0.050,0.000,0.0000,4.283,3.150,122.0103,1.2761,0.0100
50,-0.3500,0.3500,0.0500,0.4000,10.578,0.0000,0.3134,4.700,2.533,0.5390,4.333,0.267,0.100,0.383,0.050,0.1304,3.617,3.283,178.8954,1.2516,0.0173
55,-0.3833,0.3167,0.0000,0.3833,10.960,0.0000,0.3974,3.283,1.983,0.6041,3.183,0.050,0.050,0.150,0.000,0.0000,3.650,3.067,179.1177,1.1960,0.0123
60,-0.4500,0.3167,0.0333,0.4833,10.426,0.0000,0.3316,4.017,2.267,0.5643,3.567,0.400,0.050,0.133,0.033,0.2500,3.300,2.650,168.0419,1.1961,0.0095
50,-0.3800,0.3267,0.0400,0.4200,10.526,0.0000,0.3410,4.207,2.533,0.6022,3.813,0.270,0.123,0.297,0.040,0.1348,3.260,2.890,0.0000,0.0000,0.0000
