generation,iters_per_gen,cand_vs_champ_gd,cand_vs_champ_wr,cand_vs_scripted_gd,cand_vs_scripted_wr,promoted,champion_gen
1,12,-0.6000,0.2250,-0.3500,0.3375,false,0
2,12,-0.4000,0.3250,-0.3750,0.3500,false,0
3,12,-0.3500,0.3500,-0.3750,0.3250,false,0
4,12,-0.4000,0.3375,-0.2500,0.3875,false,0
5,12,-0.4000,0.3625,-0.3000,0.3875,false,0
6,12,-0.2750,0.3875,-0.2250,0.4125,false,0
7,12,-0.3000,0.3875,-0.3500,0.3375,false,0
8,12,-0.4750,0.3000,-0.4250,0.3000,false,0
9,12,-0.1750,0.4125,-0.3500,0.3625,false,0
10,12,-0.4500,0.3375,-0.5750,0.2750,false,0
11,12,-0.3750,0.3625,-0.1000,0.4500,false,0
12,12,-0.4000,0.3250,-0.3500,0.3625,false,0
