iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.8900,0.2050,0.0000,0.8900,10.021,0.0000,0.0599,3.510,2.280,0.6496,2.900,0.040,0.570,0.000,0.000,0.0000,6.110,4.110,0.0000,0.0000,0.0000
5,-0.6833,0.2083,0.0000,0.6833,10.052,0.0000,0.4857,2.150,1.383,0.6434,2.133,0.017,0.000,0.000,0.000,0.0000,5.400,3.900,90.1791,1.4766,0.0143
10,-0.6000,0.2250,0.0000,0.6000,9.863,0.0000,0.4992,2.033,1.367,0.6721,2.000,0.033,0.000,0.000,0.000,0.0000,5.433,4.300,88.0336,1.4980,0.0107
15,-0.7167,0.1917,0.0000,0.7167,10.058,0.0000,0.5075,1.600,1.217,0.7604,1.533,0.067,0.000,0.000,0.000,0.0000,4.767,3.267,79.6424,1.4353,0.0126
20,-0.9167,0.1250,0.0000,0.9167,10.149,0.0000,0.4850,1.683,1.067,0.6337,1.633,0.050,0.000,0.000,0.000,0.0000,4.850,3.217,105.4445,1.3909,0.0135
25,-0.7667,0.1833,0.0000,0.7667,10.004,0.0000,0.4740,1.850,1.067,0.5766,1.767,0.083,0.000,0.000,0.000,0.0000,5.067,3.550,121.4310,1.2813,0.0157
30,-0.8333,0.1833,0.0000,0.8333,10.519,0.0000,0.4674,2.267,1.517,0.6691,2.267,0.000,0.000,0.000,0.000,0.0000,4.900,3.067,111.0435,1.2664,0.0142
35,-0.8667,0.1750,0.0000,0.8667,11.170,0.0000,0.4948,2.017,1.350,0.6694,2.017,0.000,0.000,0.000,0.000,0.0000,5.350,3.667,133.4978,1.2244,0.0097
40,-0.6833,0.2500,0.0333,0.7167,11.044,0.0000,0.4490,3.100,2.183,0.7043,3.000,0.100,0.000,0.083,0.033,0.4000,4.667,3.133,188.8779,1.1411,0.0121
40,-0.7667,0.1983,0.0033,0.7700,11.154,0.0000,0.4650,2.803,2.047,0.7301,2.783,0.013,0.007,0.067,0.003,0.0500,4.677,3.047,0.0000,0.0000,0.0000
