iter,avg_goal_diff,winrate,goals_a,goals_b,spacing,bunch,possession,pass_att,pass_cmp,pass_completion,pass_fwd,pass_lat,pass_back,shots,shots_scored,conversion,turnovers,balls_won,avg_reward,entropy,value_loss
0,-0.8900,0.2050,0.0000,0.8900,10.021,0.0000,0.0599,3.510,2.280,0.6496,2.900,0.040,0.570,0.000,0.000,0.0000,6.110,4.110,0.0000,0.0000,0.0000
5,-0.7500,0.1750,0.0000,0.7500,10.081,0.0000,0.4859,1.333,1.050,0.7875,1.300,0.033,0.000,0.000,0.000,0.0000,4.167,2.883,147.1880,1.4745,0.0097
10,-0.5333,0.2500,0.0000,0.5333,10.484,0.0000,0.4819,1.800,1.283,0.7130,1.783,0.017,0.000,0.000,0.000,0.0000,4.700,3.433,157.6769,1.5794,0.0130
15,-0.5833,0.2500,0.0167,0.6000,10.545,0.0000,0.4693,1.900,1.300,0.6842,1.900,0.000,0.000,0.033,0.017,0.5000,4.900,3.050,162.8094,1.5301,0.0079
20,-0.9000,0.1667,0.0000,0.9000,10.060,0.0000,0.4407,2.800,2.017,0.7202,2.533,0.183,0.083,0.117,0.000,0.0000,3.917,2.700,184.5787,1.4576,0.0086
25,-0.3833,0.3167,0.0333,0.4167,11.310,0.0000,0.4424,3.000,1.850,0.6167,2.783,0.117,0.100,0.200,0.033,0.1667,3.367,2.867,207.0415,1.4554,0.0139
30,-0.6167,0.2083,0.0000,0.6167,10.938,0.0000,0.3864,2.367,1.267,0.5352,2.333,0.017,0.017,0.083,0.000,0.0000,3.417,2.583,238.4218,1.4429,0.0119
35,-0.4000,0.3167,0.0167,0.4167,10.320,0.0000,0.4414,2.200,1.550,0.7045,2.133,0.050,0.017,0.050,0.017,0.3333,3.783,3.117,295.9639,1.4570,0.0130
40,-0.4667,0.2833,0.0167,0.4833,10.775,0.0000,0.4558,3.333,1.967,0.5900,3.083,0.133,0.117,0.150,0.017,0.1111,3.283,2.767,257.3414,1.4028,0.0093
25,-0.5233,0.2683,0.0167,0.5400,11.281,0.0000,0.4357,2.967,1.650,0.5562,2.790,0.093,0.083,0.110,0.017,0.1515,3.430,2.813,0.0000,0.0000,0.0000
