generation,iters_per_gen,cand_vs_champ_gd,cand_vs_champ_wr,cand_vs_scripted_gd,cand_vs_scripted_wr,promoted,champion_gen
1,200,0.5167,0.7083,0.4500,0.6833,true,1
2,200,2.3333,0.8917,1.1500,0.8083,true,2
3,200,4.0667,0.9583,1.8667,0.9000,true,3
4,200,1.2500,0.7083,1.6500,0.8083,true,4
5,200,1.1333,0.7583,0.3333,0.6500,true,5
6,200,1.0333,0.7333,0.3000,0.6083,true,6
7,200,1.2167,0.7833,0.1000,0.5250,true,7
8,200,3.8333,0.9333,0.1833,0.5500,true,8
9,200,1.2667,0.8333,0.7333,0.7750,true,9
10,200,0.7333,0.7583,0.5667,0.7167,true,10
11,200,1.4167,0.7083,0.5333,0.7000,true,11
12,200,1.3833,0.7417,0.5333,0.7000,true,12
13,200,0.1167,0.5500,0.3833,0.6500,false,12
14,200,0.9833,0.7167,0.3667,0.6333,true,13
15,200,3.1000,0.8750,0.0167,0.5167,true,14
16,200,2.0333,0.8583,1.0667,0.8167,true,15
17,200,2.0833,0.8583,0.0167,0.5417,true,16
18,200,3.8667,0.9667,1.6667,0.8333,true,17
19,200,1.8333,0.9000,1.5833,0.8833,true,18
20,200,3.5167,0.9500,0.9667,0.7500,true,19
21,200,3.7833,0.9250,0.8833,0.7500,true,20
22,200,2.0167,0.8750,1.5167,0.8667,true,21
23,200,3.5000,0.8750,1.8000,0.8417,true,22
24,200,3.9333,0.9583,1.5333,0.8583,true,23
25,200,3.0333,0.8500,2.3167,0.9083,true,24
26,200,3.4833,0.9167,1.9500,0.9167,true,25
27,200,3.1000,0.8167,2.5167,0.8750,true,26
28,200,4.5833,0.9667,2.0667,0.8833,true,27
29,200,4.2000,0.9333,2.0167,0.9083,true,28
30,200,3.8500,0.9167,0.6167,0.6750,true,29
