=== 5-a-side standalone learning demo ===
scripted-vs-scripted:   goal_diff=-0.10  (A 1.25 / B 1.35)
untrained-vs-scripted:  goal_diff=-1.25  winrate=0.19  (A 0.05 / B 1.30)  spacing=1.9
training for 250 iterations (8 games/iter)...

 iter |  goal_diff |  winrate |     gA     gB |  space | entropy |  val_loss
--------------------------------------------------------------------------------
    5 |     +0.267 |    0.633 |   0.52   0.25 | sp 12.0 | bunch   2% | ent  1.56
   10 |     +0.517 |    0.675 |   2.58   2.07 | sp  5.0 | bunch  51% | ent  1.48
   15 |     +0.733 |    0.692 |   2.90   2.17 | sp  4.3 | bunch  60% | ent  1.39
   20 |     +2.167 |    0.908 |   3.10   0.93 | sp  4.2 | bunch  56% | ent  1.33
   25 |     +1.450 |    0.775 |   2.93   1.48 | sp  6.3 | bunch  41% | ent  1.33
   30 |     +1.050 |    0.758 |   2.30   1.25 | sp  7.4 | bunch  36% | ent  1.32
   35 |     +0.867 |    0.700 |   2.22   1.35 | sp  7.0 | bunch  33% | ent  1.26
   40 |     +0.950 |    0.708 |   2.85   1.90 | sp  6.7 | bunch  20% | ent  1.23
   45 |     +0.550 |    0.617 |   3.02   2.47 | sp  6.7 | bunch  22% | ent  1.18
   50 |     +2.017 |    0.892 |   3.70   1.68 | sp  6.2 | bunch  18% | ent  1.21
   55 |     +2.167 |    0.858 |   3.62   1.45 | sp  5.6 | bunch  19% | ent  1.17
   60 |     +1.933 |    0.850 |   3.90   1.97 | sp  5.0 | bunch  28% | ent  1.12
   65 |     +2.283 |    0.900 |   3.82   1.53 | sp  5.4 | bunch  15% | ent  1.13
   70 |     +2.283 |    0.958 |   3.83   1.55 | sp  5.1 | bunch  17% | ent  1.12
   75 |     +2.333 |    0.883 |   3.95   1.62 | sp  5.1 | bunch  22% | ent  1.09
   80 |     +2.233 |    0.900 |   3.68   1.45 | sp  5.9 | bunch  11% | ent  1.10
   85 |     +1.667 |    0.858 |   3.43   1.77 | sp  5.0 | bunch  21% | ent  1.06
   90 |     +0.400 |    0.558 |   3.00   2.60 | sp  6.5 | bunch  11% | ent  1.00
   95 |     +0.883 |    0.650 |   2.90   2.02 | sp  6.6 | bunch  10% | ent  1.04
  100 |     +2.000 |    0.817 |   3.65   1.65 | sp  5.7 | bunch  19% | ent  1.03
  105 |     +2.417 |    0.908 |   4.03   1.62 | sp  5.6 | bunch  18% | ent  1.03
